PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|DATE_AVAILABLE|BASEMENT|YEAR_BUILT|YEAR_BUILT_DESCRP|APPLIANCES|EXTERIOR_FEATURES|HEATING|INTERIOR_BLDG_FEAT|AboveGradeFinishedArea|BelowGradeFinishedArea
"RN"|71968967|"BB984916"|"BB8162"|"ACT"|2900|"7"|"Sudan"|"1"|1|"002"|"02125"||"Spacious and sunny completely renovated 3 bed walking distance to JFK train station. In unit laundry, central air, eat in kitchen with top of the line appliances, and free on street parking no sticker required. Tenants pay for all utilities and cold water and sewer bills."|8|8/15/2023 12:33:00 PM|0|"N"||"Suffolk"|"MA"|"C"|4|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,D,I,J,K,L"||"D"||9999|
"RN"|72120857|"BB984916"|"BB8162"|"ACT"|2800|"7"|"Sudan"|"2"|1|"002"|"02125"||"7 Sudan is a gorgeous building which has been gut renovated into Top-Of-The-Line apartments. Bedrooms are good size and each come with good closet space. The Kitchen comes with stainless steel appliances (including a dishwasher), a private back deck, and granite counter tops. Laundry is located in unit and the kitchen also has enough room for a small dining table. Recessed lighting and hardwood floors throughout. Location is right off of Dorchester Ave, making it very easy to acess the Train, bus, or get to plenty of bars/shops/restaurants, etc. Take a tour ASAP!"|10|1/4/2024 5:06:00 PM|0|"N"||"Suffolk"|"MA"|"C"|4|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,D,I,J,K,L"||"C"||9999|
"RN"|72264061|"BB984916"|"BB8162"|"ACT"|2800|"11"|"Romsey Street"|"3"|1||"02125"||"- Spacious 3 Bed 1 Bath on Romsey Street  - Walk in shower  - Eat in kitchen  - Large bedrooms with closet space  - Private deck and shared yard, great for entertaining!  - Convenient location to JFK/Umass on the red line, UMass Boston, 93, Star Market, Stop and Shop, South Boston, bars, restaurants, and more!"|7|9/6/2023 10:54:00 AM|0|"N"||"Suffolk"|"MA"|"C"|5|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,F,I,J"|"C"|"C"||9999|
"RN"|72264923|"BB984916"|"BB8162"|"ACT"|3000|"24"|"Willis Street"|"2"|1|"002"|"02125"||"This is an excellent 3 bedroom (4 bedroom split) apartment located on Willis St in Dorchester. The kitchen is modern, with stainless steel appliances and granite counter tops. Apartment gets great natural lighting and has hardwood floors throughout! There is private deck space as well. Laundry in unit. Bedrooms are all good size and come with ample closet space. Excellent location! Close to MBTA systems, bus and train. Also very close to plenty of bars, restaurants, and shops!"|10|2/27/2024 1:56:00 PM|0|"N"||"Suffolk"|"MA"|"D"|6|4|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,D,F,I,J,K,L"|"C,G"|"C"||9999|
"RN"|72365369|"BB984916"|"BB8162"|"ACT"|2500|"692"|"Columbia Road"|"1R"|1||"02125"||"- 2 Bed, 1 Bath located on Columbia Road  - Laundry in Unit  - Private deck and large shared yard  - Large eat-in kitchen with stainless steel appliances  - Convenient location to South Boston, JFK/Umass and Andrew Square T stops, 93, South Bay Plaza, colleges and universities, restaurants, bars, and more!"|14|12/19/2023 12:44:00 PM|0|"N"||"Suffolk"|"MA"|"D"|3|2|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,I,J,K,L"|"C"|"C"||9999|
"RN"|72418613|"A9501571"|"A95338"|"ACT"|17000|"196"|"Vineyard Meadow Farms, WT130"||123||"02575"||"THIS IS A SUMMER RENTAL ONLY.  Well appointed Farmhouse Colonial, on two private acres on private road. Conveniently located in Vineyard Meadow Farms abutting the entrance to Long Point Beach, considered by many to be the best beach on the Island. Home was built for families in mind, with three bedrooms upstairs, master with queen bed and ensuite bathroom. In addition there are two bedrooms, each with two twin beds, they share a hall bath. On the lower level there is a bedroom with a queen bed, as well as a futon in the media room. These rooms share their own full bath. All bedding is top of the line Sterns + Foster.  Kitchen has all things you might need for enjoying the bounty of the Vineyard with your family, including Bosch Dishwasher, and gas range. Includes Kitchen Aid Stand Mixer, Cuisinart Food Processor, Lobster Pot, and Weber Grill on the outside deck. You'll also find over 30 cookbooks, and all necessities."|12|11/1/2018 1:29:00 PM|1353766921|"N"||"Dukes"|"MA"|"A"|9|4|3|1|"Y"|3|43000|2300|"3f;1h"|"N"||"N"||||||"Y"|2000||"A,C,F,I,J,K,L"||"J"|||
"RN"|72418702|"A9501571"|"A95338"|"ACT"|25000|"61"|"Road To Great Neck Rd WT107"||123||"02575"||"THIS IS A SUMMER RENTAL ONLY.  This lovely new build house features 3 bedrooms, and 3 bathrooms. There is a full gourmet kitchen, open to the dining, living and patio area. French doors off the living area open up to a beautiful blue stone patio complete with breath taking water views. All three bedrooms are located on the upstairs level including the master suite. Lambert's Cove Beach Access."|11|11/1/2018 2:58:00 PM|1928386671|"N"||"Dukes"|"MA"|"A"|9|3|3|0|"Y"|2|43000|2300|"3f;0h"|"Y"|"E"|"Y"|"K"|||||||||||||
"RN"|72419593|"A9501571"|"A95338"|"ACT"|40000|"38"|"Farm Pond, OB524"||125|"OAK"|"02557"||"THIS IS A SUMMER RENTAL ONLY. Gracious 4 bedroom home with private beach access and tennis. This home has a reverse design that has been fully renovated and thoughtfully decorated. There is a large deck overlooking gardens and a peep of the water. A separate studio is attached by the deck. You are a short distance from town, less than a mile to the public beach and a minutes to a beautiful private beach."|16|11/3/2018 1:40:00 PM|0|"N"||"Dukes"|"MA"|"A"|8|4|3|0||2|39640|2748|"3f;0h"|"N"|||||||||1974||"C,F,I,J,K"|||||
"RN"|72420544|"A9501571"|"A95338"|"ACT"|20000|"67"|"New York Ave"|"OB536"|125||"02557"||"THIS IS A SUMMER RENTAL ONLY.   1900 Oak Bluffs Victorian. Ten minute walk to Nancy�s restaurant/downtown OB and 1/2 mile walk to Jetty beach in East Chop. The house was purchased empty in 2018 so all furnishings are new and the house is freshly painted. On the second floor, there are 3 bedrooms and a full bathroom, which connects to hall and master bedroom. Two bedrooms include queen beds and one bedroom includes a full bed and a set of twin bunks. On the first floor, there is a large living room connected to a sleeper den, which provides great common area for playing board games and relaxing after a day at the beach. The living room includes a 50� tv with cable and x-box, which can be used as a dvd. Small bathroom with shower on the first floor connects to the kitchen which has an eat in kitchen, with seating for 6. Great covered front porch for your morning coffee or a glass of wine under the outdoor lights."|14|11/6/2018 1:43:00 PM|1073811452|"N"||"Dukes"|"MA"|"A"|5|3|1|0||2|4356|1629|"1f;0h"|"N"||"N"|||||||1900|"A"|"A,C,F,I,J,K,L"|"A"||||
"RN"|72420585|"A9501571"|"A95338"|"ACT"|21000|"24"|"Deer Run Rd."|"OB521"|125||"02557"||"THIS IS A SUMMER RENTAL ONLY.  Centrally located to Edgartown, Vineyard Haven and Oak Bluffs. Just a short drive will take you to any of the town beaches and the Sailing Camp Park is a quick bike ride away. The home is located on over a 1/2 acre of landscaped property in a beautiful, private, neighborhood, with private roads great for biking and is wonderful for families, friends or even a romantic getaway. The community is exclusive to guests and is tranquil and quiet. The bike path and bus route is located right off of the community and is a breeze to get to. Within a very short walk is the State Park with jogging trails and places to explore."|11|11/6/2018 2:39:00 PM|1110052855|"N"||"Dukes"|"MA"|"A"|5|3|2|0||2|24152|1481|"2f;0h"|"N"||"N"|||||||1993|||"A"||||
"RN"|72420641|"A9501571"|"A95338"|"ACT"|6500|"23"|"Ocean Ave."|"OB539"|125||"02557"||"THIS IS A SUMMER WEEKLY RENTAL ONLY. PRICES ARE WEEKLY NOT MONTHLY.  Victorian Cottage located on Ocean Park in the heart of Oak Bluffs with fully equipped and updated kitchen, five bedrooms and three baths, cozy living spaces and multiple amenities will accommodate your family and friends. Smell the sea air and watch the waves break from your front porch. This charming beach house is steps away from Circuit Avenue, a plethora of restaurants, Flying Horses carousel, The Strand movie theater, Steamship Authority ferries and of course the beach overlooking Nantucket Sound."|9|11/6/2018 3:47:00 PM|0|"N"||"Dukes"|"MA"|"A"|7|3|3|0||0|3920|1645|"3f;0h"|"N"||"Y"|"J"||"N"||||1875||"C,F,H,I,J,K,L"|"A,G"|||1645|
"RN"|72423911|"A9501571"|"A95338"|"ACT"|12500|"11"|"Wamsutta Ave, OB540"||125||"02557"||"THIS IS A SUMMER RENTAL ONLY.   This antique Vineyard home is thoughtfully styled with classic country-chic interior decor. The wraparound porch has plenty of room to enjoy people watching or sipping ice cold tea, perfect for a hot summer day.  Alternatively, you can enjoy peering down the street from the master bedroom which opens up to a charming porch with plenty of room for two to enjoy coffee or drinks. This house is just a hop skip and a jump from Circuit Ave. and right next to Niantic park which has basketball, pickle-ball, tennis courts and a playground that are open to the public."|11|11/14/2018 3:42:00 PM|2127825477|"N"||"Dukes"|"MA"|"A"|7|4|1|1||1|3920|1413|"1f;1h"|"N"||"N"|||||||1880|||"A"||||
"RN"|72423916|"A9501571"|"A95338"|"ACT"|30000|"45A"|"Buttonwood Farm, WT121"||123||"02575"||"THIS IS A SUMMER RENTAL ONLY. This stunning sanctuary offers a unique balance of simplicity and sophistication. There is a lot of room for family and friends to enjoy both indoors and out. Nestled about midway between Tisbury and West Tisbury, here you will find yourself close to two of Martha's Vineyard's town centers.  Enjoy ping pong in the retro style game room or a fire in the fire pit. This slice of heaven on earth is sure to give you a vacation you will never to forget."|16|11/14/2018 3:46:00 PM|476971516|"N"||"Dukes"|"MA"|"A"|7|4|2|1||4|304920|1988|"2f;1h"|"N"||"N"|||||||1972|"B"||||||
"RN"|72430053|"A9501571"|"A95338"|"ACT"|21000|"12"|"John Wesley Ave OB519"||125||"02557"||"THIS IS A SUMMER RENTAL ONLY.   EAST CHOP LOCATION!! Located across from the historic Baptist Temple Town Park. This charming 1885 Victorian cottage is original to days gone by and a significant part of the Vineyard Highlands. Six bedrooms and two full bathrooms allow for friends and family to visit along with a cozy, bright vintage kitchen. This is a house of distinctive ""Carpenter Gothic"" construction built by the architect G.A. Rice on one of the highest points of Oak Bluffs."|15|12/5/2018 1:48:00 PM|0|"N"||"Dukes"|"MA"|"A"|8|6|2|0||2|6098|1700|"2f;0h"|"N"||||||||||||||||
"RN"|72431186|"A9501571"|"A95338"|"ACT"|10000|"21"|"Leona Ln     WT115"||123||"02575"||"THIS IS A SUMMER RENTAL ONLY.  This very charming post & beam home is the perfect getaway for those who appreciate West Tisbury's rural character. The home is very nicely furnished and equipped, has a lovely, big yard, and the location, adjacent to the bike path, is central to up-Island shopping and the fantastic sandy beaches of Lambert's Cove and Long Point Reservation.  There is no land line telephone at the property. There is high speed cable internet connection. The ethernet cable is provided."|22|12/8/2018 12:29:00 PM|4194303|"N"||"Dukes"|"MA"|"A"|7|3|1|1||2|1.4|1500|"1f;1h"|"N"||||||||||||||||
"RN"|72431189|"A9501571"|"A95338"|"ACT"|11000|"55"|"Dr. Fisher Rd WT110 Guest"|"1"|123||"02575"||"THIS IS A SUMMER RENTAL ONLY. Nestled on a quiet country lane, this charming two BR guest house will enchant you with its inviting character and custom features throughout. From the cathedral living area and newly furnished interior to the covered front porch and expansive deck, this lovely cottage has it all. Privately situated , yet convenient to the village, bike path and local beaches....Being offered ""turn key""."|21|12/8/2018 12:36:00 PM|4194303|"N"||"Dukes"|"MA"|"A"|5|2|1|1||2|0.2|800|"1f;1h"|"N"||||||||||||||||
"RN"|72601969|"BB984916"|"BB8162"|"ACT"|3000|"185"|"Sydney Street"|"1"|1||"02125"||"This is an excellent 4 bedroom 1.5 bath apartment, laied out in townhouse fashion. Living space spread out over 4 floors! Free laundry is located in unit. Enter direclty into the open concept living room-kitchen space. All bedrooms are spacious and come with good closet space. Kitchen has stainless steel appliances and granite counter tops. Hardwood floors throughout the apartment! Street parking is fairly easy street permit parking, and there is also off street parking for rent. Very close to MBTA train and bus routes. Book a tour quickly!"|9|12/21/2023 5:21:00 PM|0|"N"||"Suffolk"|"MA"|"C"|6|4|1|1||0|9999|9999|"1f;1h"|"N"|||||"N"||9/1/2024||||"A,B,C,I,J,K,L"|"Y"|"C"||9999|
"RN"|72602298|"BB984916"|"BB8162"|"ACT"|5000|"93A"|"Hillside Street"|"1"|1||"02120"||"This is a newly renovated 4 bed 1.5 bath apartment located right in the heart of Mission Hill. Kitchen-living room layout is a large open concept. Unit comes equipped with private in-unit laundry and a deck. Kitchen comes with stainless steel appliances and granite counter tops. Unit is topped off with central air and hardwood floors throughout the unit. Bedrooms are equal in size and come with good closet space. Baths are modern style. This is a great unit for any student in a nearby university (MCPHS, NEU, Wentworth, Emmanuel, Simmons, etc.)Take a look at this beautiful apartment before somebody else does!"|10|12/12/2023 11:31:00 AM|0|"N"||"Suffolk"|"MA"|"D"|6|4|1|1||0|9999|1000|"1f;1h"|"N"|||||"N"||9/1/2024||||"A,C,I,J,K,L"|"A,C"|"C"||1000|
"RN"|72619548|"BB984916"|"BB8162"|"ACT"|4000|"90"|"Hammond Street"|"2"|1|"104"|"02120"||"Great 3 bedroom apartment located on Hammond St in the South End. This unit is located RIGHT  behind Northeastern/s campus, making it a must see for any students that attend! Bedrooms are spacious and come with good closet space. The kitchen and living room are set up in an open concept, great for socializing with roomamtes and/or friends! Kitchen comes fully equipped with all necessary appliances and a dishwasher. Laundry is located on site at 96 Hammond, multiple washers and dryers, which makes doing laundry very easy! Bay windows at the front of the apartment allow for tons of natural lighting to flow inside the unit!"|6|12/12/2023 5:01:00 PM|0|"N"||"Suffolk"|"MA"|"D"|4|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,I,J"||"C"||9999|
"RN"|72620254|"BB984916"|"BB8162"|"ACT"|2800|"3"|"Sudan"|"3"|1||"02125"||"This is an excellent, affordable unit located on Sudan St right off of Dorchester Ave, very convienent location! MBTA systems are close, and area is filled with shops, bars, and resturants. Bedrooms are spaciouis and each come with good closet space. Whole apartment gets good natural lighting. The kitchen is an eat in kitchen, with direct access to the private back deck space. Kitchen also comes with stainless steel appliances, ample counter space, and plenty of room for a dining table. Book a tour before its too late! Coin op laundry located in basement, 3 washers and 3 dryers!"|9|12/26/2023 4:38:00 PM|0|"N"||"Suffolk"|"MA"|"C"|5|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,D,I,J"|"Y"|"D"||9999|
"RN"|72621978|"BB984916"|"BB8162"|"ACT"|2700|"26"|"Taft"|"2"|1||"02125"||"Amazing, renovated 3 bedroom apartment in Savin Hill located on Taft St, right off of Dorchester Ave, and a short walk to JFK T Stop (Red line). Quickly get to South Boston, South Bay Plaza, Umass Boston, Carson Beach, I-93. Apartment features spacious bedrooms, small storage room, modern bath, modern kitchen, and central air! Unit features both a front AND a back deck. The two decks and the large back yard provide tenants with tons of outdoor space! Quiet residential street, but can not far from all your favorite spots in the neighborhood! Kitchen features quartz counter tops, stainless steel appliances, and a walk in pantry space. The open kitchen and adjacent, spacious living room creates a great layout for gatherings or just spending time with room mates."|13|12/19/2023 11:32:00 AM|0|"N"||"Suffolk"|"MA"|"C"|5|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,I,J"|"C"|"C"||9999|
"RN"|72621990|"BB984916"|"BB8162"|"ACT"|2700|"26"|"Taft"|"3"|1||"02125"||"Amazing, renovated 3 bedroom apartment in Savin Hill located on Taft St, right off of Dorchester Ave, and a short walk to JFK T Stop (Red line). Quickly get to South Boston, South Bay Plaza, Umass Boston, Carson Beach, I-93. Apartment features spacious bedrooms, small storage room, modern bath, modern kitchen, and central air! Unit features a private back deck. The deck and the large back yard provide tenants with tons of outdoor space! Quiet residential street, but can not far from all your favorite spots in the neighborhood! Kitchen features quartz counter tops, stainless steel appliances, and a walk in pantry space. The open kitchen and adjacent, spacious living room creates a great layout for gatherings or just spending time with room mates."|14|12/19/2023 11:56:00 AM|0|"N"||"Suffolk"|"MA"|"C"|5|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,I,J"|"C"|"C"||9999|
"RN"|72712700|"CN209479"|"AN4282"|"ACT"|20000|"421"|"S Road"||122|"CHI"|"02535"||"WEEKLY RENTAL $20,000/WEEK. Fully updated in 1998 1773 Allen Farm Farmhouse perched above Lucy Vincent Beach in Chilmark is one of the greatest properties Martha's Vineyard & New England. If you know about Allen Farm, then you already know how special and rare this property is. This home sleeps 10, has 5 bedrooms, 3 bathrooms, a jacuzzi, open concept chef's kitchen & dining room w two living rooms, screened in porch, outdoor shower, & master bed on main floor, 3 bedrooms on the 2nd floor & big bedroom w 3 beds on the 3rd floor. The property is surrounded by stone walls, & offers direct access to Lucy Vincent Beach, Chilmark Pond & pasture in the front yard, & farmland/pasture in your backyard w fresh organic veggie garden at your disposal, you simply will not find a better vacation home. Comes w Kayaks/Canoes. Linens Provided."|34|9/29/2020 1:09:00 PM|0|"N"||"Dukes"|"MA"|"A"|11|5|3|0|"Y"|4|4356000|4367|"3f;0h"|"Y"|"A,E,R,W"|"Y"|"J,K,L,M"||"N"|"A/C in Bedrooms, Renovations in 1998"|9/15/2020||1773|"B"|"A,B,C,D,F,I,J,K,L,Q"|"12,D,O,S,V,W,14,19,21"|"B"|"D"|4367|
"RN"|72765577|"BB984916"|"BB8162"|"ACT"|2900|"26"|"Taft"|"1"|1||"02125"||"Amazing, renovated 4 bedroom apartment in Savin Hill located on Taft St, right off of Dorchester Ave, and a short walk to JFK T Stop (Red line). Quickly get to South Boston, South Bay Plaza, Umass Boston, Carson Beach, I-93. Apartment features spacious bedrooms, small storage room, modern bath, modern kitchen, and central air! Unit features a private back deck. The deck and the large back yard provide tenants with tons of outdoor space! Quiet residential street, but can not far from all your favorite spots in the neighborhood! Kitchen features quartz counter tops, stainless steel appliances, and a walk in pantry space. The open kitchen and adjacent, spacious living room creates a great layout for gatherings or just spending time with room mates."|13|12/19/2023 9:52:00 AM|0|"N"||"Suffolk"|"MA"|"C"|6|4|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,I,J"|"C"|"C"||9999|
"RN"|72766386|"BB984916"|"BB8162"|"ACT"|3200|"185"|"Sydney Street"|"2"|1||"02125"||"This is an excellent 4 bedroom 1.5 bath apartment, layed out in townhouse fashion. Living space spread out over 4 floors! Free laundry is located in unit. Enter direclty into the open concept living room-kitchen space. All bedrooms are spacious and come with good closet space. Kitchen has stainless steel appliances and granite counter tops. Hardwood floors throughout the apartment! Street parking is fairly easy street permit parking, and there is also off street parking for rent. Very close to MBTA train and bus routes. Book a tour quickly!"|11|12/22/2023 9:44:00 AM|0|"N"||"Suffolk"|"MA"|"C"|6|4|1|1||0|9999|9999|"1f;1h"|"N"|||||"N"||9/2/2024||||"A,C,I,J,K,L"|"C"|"C"||9999|
"RN"|72766987|"BB984916"|"BB8162"|"ACT"|2500|"276"|"East Cottage"|"1"|1||"02125"||"This is an excellent 2 bedroom apartment located right at the end of East Cottage St, never far from the action! Laundry is located in unit, and the apartment comes with a back deck. This is a newly renovated unit with granite counter tops and stainless steel appliances. Bedrooms are all spacious and come with good closet space. Sunlight finds itsway through the windows with ease. Located close to MBTA systems (train and bus routes). There is hardwood floors throughout the building. Plenty of shops, bars, and resturants close by and as previously mentioned its a great location for commuters. Take a look before its too late!"|11|4/7/2023 1:47:00 PM|0|"N"||"Suffolk"|"MA"|"C"|4|2|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,D,I,J,K,L"|"C"|"C"||9999|
"RN"|72766999|"BB984916"|"BB8162"|"ACT"|2800|"33"|"Edison Green Street"|"3"|1|"002"|"02125"||"This 3 bedroom apartment has a very big living room and an open kitchen with abundant counter space! Laundry is located in the unit, making laundry nice and easy to do. There is a spacious back yard and a private deck as well. Hardwood flooring throughout the apartment. Edison Green features free street parking, no permit sticker required! In addition to the living room and kitchen, the bedrooms themselves do not dissapoint either, all have good square footage! Convenient location to JFK/Umass T stop on the red line, South Boston, Carson Beach, South Bay Plaza, UMass Boston, Star Market, bars, restaurants and more!"|11|12/15/2023 4:30:00 PM|0|"N"||"Suffolk"|"MA"|"D"|4|3|1|0||0|9999|9999|"1f;0h"|"N"|||||"N"||9/1/2024||||"A,C,D,I,J"|"C"|"C"||9999|
